Catch,Header,CruiseLocalID,HaulGear,HaulNumber,CatchDataType,CatchSpeciesCode,CatchSpeciesValidity,CatchSpeciesCategory,CatchSpeciesCategoryNumber,CatchWeightUnit,CatchSpeciesCategoryWeight,CatchSpeciesSex,CatchSubsampledNumber,CatchSubsamplingFactor,CatchSubsampleWeight,CatchLengthCode,CatchLengthClass,CatchLengthType,CatchNumberAtLength,CatchWeightAtLength
Catch,Record,20159001,PEL,1,R,126736,1,1,2,kg,0.046,,2,1,0.046,cm,160,1,2,
Catch,Record,20159001,PEL,1,R,126505,1,1,38,kg,0.7109580855245411,,38,1,0.7109580855245411,cm,40,1,4,
Catch,Record,20159001,PEL,1,R,126505,1,1,38,kg,0.7109580855245411,,38,1,0.7109580855245411,cm,50,1,33,
Catch,Record,20159001,PEL,1,R,126505,1,1,38,kg,0.7109580855245411,,38,1,0.7109580855245411,cm,60,1,1,
Catch,Record,20159001,PEL,1,R,126507,1,1,7,kg,0.0867022055517733,,7,1,0.0867022055517733,cm,40,1,3,
Catch,Record,20159001,PEL,1,R,126507,1,1,7,kg,0.0867022055517733,,7,1,0.0867022055517733,cm,50,1,4,
Catch,Record,20159001,PEL,1,R,126417,1,1,327,kg,117.04797749489394,,327,1,117.04797749489394,halfcm,80,1,1,3.0
Catch,Record,20159001,PEL,1,R,126417,1,1,327,kg,117.04797749489394,,327,1,117.04797749489394,halfcm,90,1,2,9.6
Catch,Record,20159001,PEL,1,R,126417,1,1,327,kg,117.04797749489394,,327,1,117.04797749489394,halfcm,100,1,20,61.0
Catch,Record,20159001,PEL,1,R,126417,1,1,327,kg,117.04797749489394,,327,1,117.04797749489394,halfcm,105,1,78,68.0
Catch,Record,20159001,PEL,1,R,126417,1,1,327,kg,117.04797749489394,,327,1,117.04797749489394,halfcm,110,1,121,78.0
Catch,Record,20159001,PEL,1,R,126417,1,1,327,kg,117.04797749489394,,327,1,117.04797749489394,halfcm,115,1,56,88.0
Catch,Record,20159001,PEL,1,R,126417,1,1,327,kg,117.04797749489394,,327,1,117.04797749489394,halfcm,120,1,11,100.0
Catch,Record,20159001,PEL,1,R,126417,1,1,327,kg,117.04797749489394,,327,1,117.04797749489394,halfcm,125,1,10,108.0
Catch,Record,20159001,PEL,1,R,126417,1,1,327,kg,117.04797749489394,,327,1,117.04797749489394,halfcm,130,1,2,26.6
Catch,Record,20159001,PEL,1,R,126417,1,1,327,kg,117.04797749489394,,327,1,117.04797749489394,halfcm,135,1,6,81.6
Catch,Record,20159001,PEL,1,R,126417,1,1,327,kg,117.04797749489394,,327,1,117.04797749489394,halfcm,140,1,3,42.6
Catch,Record,20159001,PEL,1,R,126417,1,1,327,kg,117.04797749489394,,327,1,117.04797749489394,halfcm,145,1,5,81.0
Catch,Record,20159001,PEL,1,R,126417,1,1,327,kg,117.04797749489394,,327,1,117.04797749489394,halfcm,150,1,3,48.6
Catch,Record,20159001,PEL,1,R,126417,1,1,327,kg,117.04797749489394,,327,1,117.04797749489394,halfcm,155,1,3,61.5
Catch,Record,20159001,PEL,1,R,126417,1,1,327,kg,117.04797749489394,,327,1,117.04797749489394,halfcm,160,1,2,40.0
Catch,Record,20159001,PEL,1,R,126417,1,1,327,kg,117.04797749489394,,327,1,117.04797749489394,halfcm,165,1,3,63.6
Catch,Record,20159001,PEL,1,R,126417,1,1,327,kg,117.04797749489394,,327,1,117.04797749489394,halfcm,175,1,1,22.5
Catch,Record,20159001,PEL,1,R,126425,1,1,250,kg,1226.3159953242816,,250,1,1226.3159953242816,halfcm,75,1,1,2.5
Catch,Record,20159001,PEL,1,R,126425,1,1,250,kg,1226.3159953242816,,250,1,1226.3159953242816,halfcm,85,1,10,12.9
Catch,Record,20159001,PEL,1,R,126425,1,1,250,kg,1226.3159953242816,,250,1,1226.3159953242816,halfcm,90,1,90,14.1
Catch,Record,20159001,PEL,1,R,126425,1,1,250,kg,1226.3159953242816,,250,1,1226.3159953242816,halfcm,95,1,96,15.9
Catch,Record,20159001,PEL,1,R,126425,1,1,250,kg,1226.3159953242816,,250,1,1226.3159953242816,halfcm,100,1,25,64.0
Catch,Record,20159001,PEL,1,R,126425,1,1,250,kg,1226.3159953242816,,250,1,1226.3159953242816,halfcm,105,1,3,21.6
Catch,Record,20159001,PEL,1,R,126425,1,1,250,kg,1226.3159953242816,,250,1,1226.3159953242816,halfcm,110,1,4,32.4
Catch,Record,20159001,PEL,1,R,126425,1,1,250,kg,1226.3159953242816,,250,1,1226.3159953242816,halfcm,115,1,10,86.0
Catch,Record,20159001,PEL,1,R,126425,1,1,250,kg,1226.3159953242816,,250,1,1226.3159953242816,halfcm,120,1,7,68.6
Catch,Record,20159001,PEL,1,R,126425,1,1,250,kg,1226.3159953242816,,250,1,1226.3159953242816,halfcm,125,1,3,30.6
Catch,Record,20159001,PEL,1,R,126425,1,1,250,kg,1226.3159953242816,,250,1,1226.3159953242816,halfcm,130,1,1,10.0
Catch,Record,20159001,PEL,2,R,126505,1,1,70,kg,0.5618593791883343,,70,1,0.5618593791883343,cm,30,1,8,
Catch,Record,20159001,PEL,2,R,126505,1,1,70,kg,0.5618593791883343,,70,1,0.5618593791883343,cm,40,1,1,
Catch,Record,20159001,PEL,2,R,126505,1,1,70,kg,0.5618593791883343,,70,1,0.5618593791883343,cm,50,1,10,
Catch,Record,20159001,PEL,2,R,126505,1,1,70,kg,0.5618593791883343,,70,1,0.5618593791883343,cm,60,1,40,
Catch,Record,20159001,PEL,2,R,126505,1,1,70,kg,0.5618593791883343,,70,1,0.5618593791883343,cm,70,1,11,
Catch,Record,20159001,PEL,2,R,126507,1,1,1,kg,0.001,,1,1,0.001,cm,50,1,1,
Catch,Record,20159001,PEL,2,R,126417,1,1,322,kg,129.67878518200826,,322,1,129.67878518200826,halfcm,120,1,2,21.0
Catch,Record,20159001,PEL,2,R,126417,1,1,322,kg,129.67878518200826,,322,1,129.67878518200826,halfcm,125,1,19,128.0
Catch,Record,20159001,PEL,2,R,126417,1,1,322,kg,129.67878518200826,,322,1,129.67878518200826,halfcm,130,1,48,140.0
Catch,Record,20159001,PEL,2,R,126417,1,1,322,kg,129.67878518200826,,322,1,129.67878518200826,halfcm,135,1,72,154.0
Catch,Record,20159001,PEL,2,R,126417,1,1,322,kg,129.67878518200826,,322,1,129.67878518200826,halfcm,140,1,51,166.0
Catch,Record,20159001,PEL,2,R,126417,1,1,322,kg,129.67878518200826,,322,1,129.67878518200826,halfcm,145,1,31,179.0
Catch,Record,20159001,PEL,2,R,126417,1,1,322,kg,129.67878518200826,,322,1,129.67878518200826,halfcm,150,1,16,205.0
Catch,Record,20159001,PEL,2,R,126417,1,1,322,kg,129.67878518200826,,322,1,129.67878518200826,halfcm,155,1,25,214.0
Catch,Record,20159001,PEL,2,R,126417,1,1,322,kg,129.67878518200826,,322,1,129.67878518200826,halfcm,160,1,12,236.0
Catch,Record,20159001,PEL,2,R,126417,1,1,322,kg,129.67878518200826,,322,1,129.67878518200826,halfcm,165,1,13,260.0
Catch,Record,20159001,PEL,2,R,126417,1,1,322,kg,129.67878518200826,,322,1,129.67878518200826,halfcm,170,1,11,288.0
Catch,Record,20159001,PEL,2,R,126417,1,1,322,kg,129.67878518200826,,322,1,129.67878518200826,halfcm,175,1,9,284.4
Catch,Record,20159001,PEL,2,R,126417,1,1,322,kg,129.67878518200826,,322,1,129.67878518200826,halfcm,180,1,4,127.2
Catch,Record,20159001,PEL,2,R,126417,1,1,322,kg,129.67878518200826,,322,1,129.67878518200826,halfcm,185,1,2,71.0
Catch,Record,20159001,PEL,2,R,126417,1,1,322,kg,129.67878518200826,,322,1,129.67878518200826,halfcm,190,1,1,42.0
Catch,Record,20159001,PEL,2,R,126417,1,1,322,kg,129.67878518200826,,322,1,129.67878518200826,halfcm,195,1,1,43.5
