"Record_type"	"Sampling_type"	"Landing_country"	"Vessel_flag_country"	"Year"	"Project"	"Trip_number"	"Station_number"	"Quarter"	"Month"	"Species"	"Sex"	"Catch_category"	"Landing_category"	"Comm_size_cat_scale"	"Comm_size_cat"	"Stock"	"Area"	"Statistical_rectangle"	"Subpolygon"	"Length_class"	"Age"	"Specimen_No"	"Length_code"	"Aging_method"	"Age_plus_group"	"Otolith_weight"	"Otolith_side"	"Weight"	"Maturity_staging"	"Maturity_scale"	"Maturity_stage"	"Trip_id"
"44"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"-"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	115	NA	"207"	"scm"	"OWR"	"-"	"-"	"-"	11	"Visual"	"1-8"	"1"	"23891"
"45"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"-"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	115	1	"40"	"scm"	"OWR"	"-"	"-"	"-"	9	"Visual"	"1-8"	"1"	"23891"
"46"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	115	1	"104"	"scm"	"OWR"	"-"	"-"	"-"	10	"Visual"	"1-8"	"1"	"23891"
"47"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	120	1	"107"	"scm"	"OWR"	"-"	"-"	"-"	10	"Visual"	"1-8"	"1"	"23891"
"48"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	120	1	"296"	"scm"	"OWR"	"-"	"-"	"-"	12	"Visual"	"1-8"	"1"	"23891"
"49"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"F"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	120	1	"199"	"scm"	"OWR"	"-"	"-"	"-"	12	"Visual"	"1-8"	"1"	"23891"
"50"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	125	2	"105"	"scm"	"OWR"	"-"	"-"	"-"	13	"Visual"	"1-8"	"1"	"23891"
"51"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	125	1	"38"	"scm"	"OWR"	"-"	"-"	"-"	12	"Visual"	"1-8"	"1"	"23891"
"52"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"F"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	125	1	"295"	"scm"	"OWR"	"-"	"-"	"-"	14	"Visual"	"1-8"	"1"	"23891"
"53"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"-"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	125	1	"294"	"scm"	"OWR"	"-"	"-"	"-"	13	"Visual"	"1-8"	"1"	"23891"
"54"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	125	1	"71"	"scm"	"OWR"	"-"	"-"	"-"	12	"Visual"	"1-8"	"1"	"23891"
"55"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	125	1	"159"	"scm"	"OWR"	"-"	"-"	"-"	13	"Visual"	"1-8"	"1"	"23891"
"56"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	130	1	"158"	"scm"	"OWR"	"-"	"-"	"-"	14	"Visual"	"1-8"	"1"	"23891"
