Haul,Header,CruiseLocalID,HaulGear,HaulNumber,HaulStationName,HaulStartTime,HaulDuration,HaulValidity,HaulStartLatitude,HaulStartLongitude,HaulStopLatitude,HaulStopLongitude,HaulStatisticalRectangle,HaulMinTrawlDepth,HaulMaxTrawlDepth,HaulBottomDepth,HaulDistance,HaulNetopening,HaulCodendMesh,HaulSweepLength,HaulGearExceptions,HaulDoorType,HaulWarpLength,HaulWarpDiameter,HaulWarpDensity,HaulDoorSurface,HaulDoorWeight,HaulDoorSpread,HaulWingSpread,HaulBuoyancy,HaulKiteArea,HaulGroundRopeWeight,HaulRigging,HaulTickler,HaulHydrographicStationID,HaulTowDirection,HaulSpeedGround,HaulSpeedWater,HaulWindDirection,HaulWindSpeed,HaulSwellDirection,HaulSwellHeight,HaulLogDistance
Haul,Record,20159001,PEL,1,48H3-1,2015-09-29T05:26,44,V,59.60666666666667,23.195083333333333,59.59243333333333,23.136,48H3,35,,63,4074,16,3,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,20159001,PEL,2,50G8-1,2015-09-30T00:51,24,V,60.683166666666665,18.851333333333333,60.718833333333336,18.812,50G8,20,,61,1852,16,3,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,20159001,PEL,3,50G7-1,2015-09-30T05:29,46,V,60.763333333333335,18.096,60.77066666666666,18.025666666666666,50G8,13,,57,3976,16,3,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,20159001,PEL,5,51G9-1,2015-09-30T16:23,25,V,61.14333333333333,19.148666666666667,61.16166666666667,19.148666666666667,51G9,10,,67,2161,16,3,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,20159001,PEL,6,51G8-2,2015-09-30T20:00,30,V,61.3425,18.958833333333335,61.342666666666666,18.911,51G8,15,,72,2593,16,3,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,20159001,PEL,7,51G7-1,2015-09-30T23:43,60,V,61.33866666666667,18.087666666666667,61.340333333333334,17.997833333333332,51G8,25,,61,4630,16,3,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,20159001,PEL,8,53H0-1,2015-10-01T22:53,56,V,62.237,20.673833333333334,62.22933333333334,20.583833333333335,53H0,20,,72,4840,16,3,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,20159001,PEL,9,53G9-1,2015-10-02T02:50,60,V,62.19766666666666,19.979,62.20033333333333,19.807666666666666,53G9,23,,126,5741,16,3,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,20159001,PEL,10,53G8-1,2015-10-02T07:37,60,V,62.14266666666666,18.9875,62.138333333333335,18.825,53G8,16,,90,6112,16,3,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,20159001,PEL,11,52H0-1,2015-10-03T23:30,35,V,61.54933333333334,20.8375,61.540333333333336,20.791833333333333,52H0,16,,71,2701,16,3,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,20159001,PEL,12,52H0-2,2015-10-04T03:25,35,V,61.83683333333333,20.501166666666666,61.840666666666664,20.381833333333333,52H0,23,,94,3025,16,3,,,,,,,,,,,,,,,,,,,,,,,,
